species_name,genome_file_name,cds_file_name
ftjaetaba,ftjaetaba_genome.fna,ftjaetaba_cds.fna
trugulosus,trugulosus_genome.fna,trugulosus_cds.fna
atruncatum,atruncatum_genome.fna,atruncatum_cds.fna
aburnsii,aburnsii_genome.fna,aburnsii_cds.fna
ckarsti,ckarsti_genome.fna,ckarsti_cds.fna
bnanus,bnanus_genome.fna,bnanus_cds.fna
mresinicola,mresinicola_genome.fna,mresinicola_cds.fna
phyperparasitica,phyperparasitica_genome.fna,phyperparasitica_cds.fna
manomochaeta,manomochaeta_genome.fna,manomochaeta_cds.fna
nacidophila,nacidophila_genome.fna,nacidophila_cds.fna
lingoldianus,lingoldianus_genome.fna,lingoldianus_cds.fna
wornata,wornata_genome.fna,wornata_cds.fna
tpertusa,tpertusa_genome.fna,tpertusa_cds.fna
apseudonomiae,apseudonomiae_genome.fna,apseudonomiae_cds.fna
acaelatus,acaelatus_genome.fna,acaelatus_cds.fna
apseudotamarii,apseudotamarii_genome.fna,apseudotamarii_cds.fna
vechinocandica,vechinocandica_genome.fna,vechinocandica_cds.fna
aalliaceus,aalliaceus_genome.fna,aalliaceus_cds.fna
drugosa,drugosa_genome.fna,drugosa_cds.fna
dchildiae,dchildiae_genome.fna,dchildiae_cds.fna
kshandongensis,kshandongensis_genome.fna,kshandongensis_cds.fna
aatra,aatra_genome.fna,aatra_cds.fna
smicrobalum,smicrobalum_genome.fna,smicrobalum_cds.fna
sgraminicola,sgraminicola_genome.fna,sgraminicola_cds.fna
zmrakii,zmrakii_genome.fna,zmrakii_cds.fna
mimportuna,mimportuna_genome.fna,mimportuna_cds.fna
amulundensis,amulundensis_genome.fna,amulundensis_cds.fna
awelwitschiae,awelwitschiae_genome.fna,awelwitschiae_cds.fna
aingoldii,aingoldii_genome.fna,aingoldii_cds.fna
twashingtonensis,twashingtonensis_genome.fna,twashingtonensis_cds.fna
pglucosiphilum,pglucosiphilum_genome.fna,pglucosiphilum_cds.fna
cguamensis,cguamensis_genome.fna,cguamensis_cds.fna
mmiltonrushii,mmiltonrushii_genome.fna,mmiltonrushii_cds.fna
jrosea,jrosea_genome.fna,jrosea_cds.fna
fvenenatum,fvenenatum_genome.fna,fvenenatum_cds.fna
tcitrinoviride,tcitrinoviride_genome.fna,tcitrinoviride_cds.fna
ppennisetigena,ppennisetigena_genome.fna,ppennisetigena_cds.fna
cpseudohaemulonii,cpseudohaemulonii_genome.fna,cpseudohaemulonii_cds.fna
acandidus,acandidus_genome.fna,acandidus_cds.fna
oophidiicola,oophidiicola_genome.fna,oophidiicola_cds.fna
gmorbida,gmorbida_genome.fna,gmorbida_cds.fna
tatroroseus,tatroroseus_genome.fna,tatroroseus_cds.fna
dcorticola,dcorticola_genome.fna,dcorticola_cds.fna
corchidophilum,corchidophilum_genome.fna,corchidophilum_cds.fna
parizonense,parizonense_genome.fna,parizonense_cds.fna
pverrucosus,pverrucosus_genome.fna,pverrucosus_cds.fna
fpoae,fpoae_genome.fna,fpoae_cds.fna
dprimogenitus,dprimogenitus_genome.fna,dprimogenitus_cds.fna
